sequence_id,pair_id,split,condition,association_min_mask_iou,association_max_centroid_distance_px,maximum_frame_gap,is_frozen_setting,raw_weed_detection_count,raw_weed_track_count,raw_weed_singleton_track_count,raw_weed_maximum_observations,locked_weed_detection_count,locked_weed_track_count,locked_weed_singleton_track_count,locked_weed_qualifying_track_count,track_tp,track_fp,track_fn,track_precision,track_recall,track_f1,track_f1_state
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.1,320.0,2,False,164,48,16,14,55,16,3,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.1,320.0,3,False,164,46,16,18,55,16,4,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.1,480.0,1,False,164,40,11,14,55,13,2,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.1,480.0,2,False,164,34,8,14,55,14,2,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.1,480.0,3,False,164,32,8,16,55,13,2,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.1,640.0,1,False,164,34,10,15,55,13,2,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.1,640.0,2,False,164,29,8,15,55,13,2,8,0,8,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.1,640.0,3,False,164,27,6,18,55,12,2,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,80.0,1,False,164,147,137,4,55,50,47,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,80.0,2,False,164,146,135,4,55,50,47,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,80.0,3,False,164,145,133,4,55,50,47,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,160.0,1,False,164,121,99,5,55,47,42,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,160.0,2,False,164,119,96,5,55,47,42,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,160.0,3,False,164,118,95,6,55,46,41,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,240.0,1,False,164,72,33,7,55,26,12,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,240.0,2,False,164,72,33,7,55,27,14,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,240.0,3,False,164,67,30,8,55,22,8,10,0,10,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,320.0,1,False,164,48,17,14,55,15,3,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,320.0,2,False,164,48,16,14,55,16,3,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,320.0,3,False,164,46,16,18,55,16,4,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,480.0,1,False,164,40,11,14,55,13,2,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,480.0,2,False,164,34,8,14,55,14,2,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,480.0,3,False,164,32,8,16,55,13,2,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,640.0,1,False,164,34,10,15,55,13,2,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,640.0,2,False,164,29,8,15,55,13,2,8,0,8,0,0.0,,,undefined_missing_precision_or_recall_denominator
degraded:fixture_calibration_0000,fixture_calibration_0000,calibration,degraded,0.25,640.0,3,False,164,27,6,18,55,12,2,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,80.0,1,False,166,147,138,5,55,51,48,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,80.0,2,False,166,145,134,5,55,51,48,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,80.0,3,False,166,144,132,5,55,51,48,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,160.0,1,False,166,124,103,7,55,48,43,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,160.0,2,False,166,122,100,7,55,48,43,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,160.0,3,False,166,121,99,7,55,47,42,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,240.0,1,False,166,72,33,10,55,26,11,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,240.0,2,False,166,71,32,10,55,27,13,9,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,240.0,3,False,166,65,29,10,55,22,8,10,0,10,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,320.0,1,False,166,49,19,14,55,15,3,10,0,10,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,320.0,2,False,166,47,16,14,55,16,3,10,0,10,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,320.0,3,False,166,44,15,16,55,16,4,10,0,10,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,480.0,1,False,166,41,14,14,55,12,2,9,0,8,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,480.0,2,False,166,35,8,14,55,13,2,10,0,9,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,480.0,3,False,166,32,8,16,55,12,2,9,0,8,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,640.0,1,False,166,35,12,15,55,12,2,9,0,8,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,640.0,2,False,166,29,8,15,55,12,2,9,0,8,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.05,640.0,3,False,166,26,7,18,55,11,2,9,0,8,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.1,80.0,1,False,166,149,140,5,55,51,48,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.1,80.0,2,False,166,148,138,5,55,51,48,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.1,80.0,3,False,166,147,136,5,55,51,48,1,0,1,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.1,160.0,1,False,166,124,103,7,55,48,43,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.1,160.0,2,True,166,122,100,7,55,48,43,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
ideal:fixture_calibration_0000,fixture_calibration_0000,calibration,ideal,0.1,160.0,3,False,166,121,99,7,55,47,42,2,0,2,0,0.0,,,undefined_missing_precision_or_recall_denominator
